"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X1.198__177.95758000000001__.M.H..__Unknown",-2.4674,0.1019,-4.1408,0.0032191,0.71092,-4.4673
"X0.701__277.14312999999999__.M.H..__w.o.MS2.3.7.Epoxycaryophyllan.6.Ol",4.7108,-4.4073,3.2756,0.011193,0.71092,-4.4922
"X6.845__352.32128999999998__.M.H..__Unknown",6.176,-6.1117,3.2732,0.011233,0.71092,-4.4922
"X5.612__313.19296000000003__.M.H..__w.o.MS2.55268.74.1",0.87049,-0.17727,3.136,0.013812,0.71092,-4.497
"X6.479__295.23615000000001__.M.H..__w.o.MS2.Unknown..carbon.number.18...PlaSMA.ID.1528",1.0749,-0.22614,3.1282,0.013978,0.71092,-4.4973
"X6.81__392.30063000000001__.M.K..__Unknown",1.2211,-1.0939,3.0732,0.015194,0.71092,-4.4993
"X0.853__100.07642__.M.H..__w.o.MS2.Unknown..carbon.number.5...PlaSMA.ID.14",1.7492,-0.76163,2.774,0.024047,0.71092,-4.5109
"X4.542__385.19860999999997__.M.H..__w.o.MS2.NCGC00180558.02.",0.87178,0.11063,2.7672,0.024302,0.71092,-4.5112
"X0.72__161.07374999999999__.M.H..__w.o.MS2.MLS001048867.01.1H.indole.3.carboxamide",-0.95825,1.4101,-2.7299,0.025745,0.71092,-4.5127
"X3.467__201.05070000000001__.M.H..__w.o.MS2.Camalexin",0.85621,-0.14095,2.7234,0.026005,0.71092,-4.513
"X0.988__254.99437__.M.H..__Unknown",1.4422,0.506,2.6787,0.027872,0.71092,-4.5148
"X0.588__113.10735__.M.H..__Unknown",0.98286,-0.61837,2.5932,0.031836,0.71092,-4.5185
"X4.613__311.16034000000002__.M.H..__w.o.MS2..16alpha.17beta..estra.1.3.5.10..triene.3.16.17.triol",5.8499,-1.9755,2.5585,0.03361,0.71092,-4.52
"X0.802__234.05477999999999__.M.H..__Unknown",3.1444,-3.8767,2.5543,0.033831,0.71092,-4.5202
"X1.005__148.09650999999999__.M.H..__w.o.MS2.Mevalonic.Acid.Lactone",1.1857,-2.1314,2.5191,0.035739,0.71092,-4.5217
"X1.629__130.06524999999999__.M.H..__w.o.MS2.Indole.3.carbinol..LC.ESI.QTOF..MS2..CE",-1.4044,0.014165,-2.5103,0.03623,0.71092,-4.5221
"X8.264__449.38479999999998__.M.H..__w.o.MS2.friedelin",-3.4774,1.9562,-2.4919,0.037288,0.71092,-4.5229
"X0.591__226.04044999999999__.M.H..__Unknown",1.2625,0.28297,2.4852,0.037681,0.71092,-4.5232
"X5.693__239.16209000000001__.M.H..__w.o.MS2.3.hydroxy.5.5.8a.trimethyl.3.4.4a.6.7.8.hexahydronaphthalene.2.carboxylic.acid",0.86682,-0.78058,2.3966,0.043278,0.71092,-4.5272
"X7.533__371.32468__.M.H..__Unknown",0.78525,0.18997,2.3443,0.046966,0.71092,-4.5296
"X2.497__176.07837000000001__.M.H..__w.o.MS2.allantonin",-1.2528,0.27316,-2.3276,0.048204,0.71092,-4.5304
"X1.348__200.97656000000001__.M.H..__Unknown",-1.2799,0.575,-2.3091,0.049626,0.71092,-4.5313
"X0.895__136.06218000000001__.M.H..__w.o.MS2.Adenine..CE0..GFFGJBXGBJISGV.UHFFFAOYSA.N",1.599,-1.6288,2.2976,0.05052,0.71092,-4.5318
"X1.008__357.02609000000001__.M.H.H2O..__w.o.MS2..E..1.4.bis.4.hydroxy.3.methoxyphenyl..2.3.dimethylbut.2.ene.1.4.dione",-0.94259,0.48849,-2.2838,0.051626,0.71092,-4.5324
"X6.459__236.20265000000001__.M.Na..__Unknown",-0.81787,0.2244,-2.2657,0.053103,0.71092,-4.5333
"X5.824__227.16176999999999__.M.H..__w.o.MS2.NCGC00381386.01.2..7.hydroxy.6.methyloctyl..2H.furan.5.one",0.94775,-0.26424,2.2412,0.055179,0.71092,-4.5344
"X1.164__186.99564000000001__.M.H..__w.o.MS2.D.....3.PHOSPHOGLYCERIC.ACID",1.5055,-0.11671,2.2401,0.055278,0.71092,-4.5345
"X2.434__409.18682999999999__.M.H..__w.o.MS2.eudesmin",-1.7501,-0.44249,-2.223,0.056773,0.71092,-4.5353
"X3.635__191.07396__.M.H..__w.o.MS2.2.hydroxy.4.methyl.3H.benzo.e..1.4.diazepin.5.4H..one",0.62627,0.055078,2.2223,0.056834,0.71092,-4.5353
"X0.603__246.18407999999999__.M.H..__w.o.MS2.Unknown..carbon.number.11...PlaSMA.ID.1031",1.094,-1.1333,2.2161,0.057389,0.71092,-4.5356
"X3.43__345.14542__.M.H..__w.o.MS2.MLS001139277.01..2S..5.oxo.1..3.oxo.1H.2.benzofuran.1.yl..N..oxolan.2.ylmethyl.pyrrolidine.2.carboxamide",0.98672,0.0088235,2.1993,0.058918,0.71092,-4.5365
"X4.575__231.10056__.M.H..__w.o.MS2.MLS000069555.01.NAPROXEN.SODIUM",0.89979,-0.84592,2.1876,0.06,0.71092,-4.537
"X2.432__117.05843__.M.H..__w.o.MS2.Ketoisovaleric.acid",-0.68131,0.10136,-2.1716,0.061518,0.71092,-4.5378
"X5.97__318.29723999999999__.M.H..__w.o.MS2.Phytosphingosine..not.validated..isomer.of.1696...PlaSMA.ID.1697",1.0588,0.10828,2.1486,0.063764,0.71092,-4.5389
"X6.14__286.32269000000002__.M.H..__Unknown",0.84931,-0.3672,2.1358,0.065052,0.71092,-4.5395
"X0.581__407.01718__.M.H..__w.o.MS2.Methyl.Deoxycholate",1.0953,0.038346,2.1221,0.06646,0.71092,-4.5402
"X3.093__486.04108000000002__.M.H..__Unknown",-1.1086,-0.23319,-2.1074,0.067995,0.71092,-4.5409
"X1.145__148.05457999999999__.M.H..__w.o.MS2.Glutamic.acid",-1.1521,-1.3269,-2.0742,0.071606,0.71092,-4.5425
"X4.138__241.14152999999999__.M.CH3OH.H..__w.o.MS2.Imiquimod",0.5251,-0.032055,2.0601,0.073198,0.71092,-4.5432
"X1.088__177.94945__.M.H..__Unknown",-1.6862,-0.73302,-2.0574,0.073504,0.71092,-4.5434
