"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X1.198__177.95758000000001__.M.H..__Unknown",-1.5258,0.52036,-3.7773,0.003612,0.99426,-4.3676
"X1.348__200.97656000000001__.M.H..__Unknown",-1.3944,0.061513,-3.509,0.0056329,0.99426,-4.3846
"X1.145__148.05457999999999__.M.H..__w.o.MS2.Glutamic.acid",-1.2669,-1.4173,-3.3597,0.0072362,0.99426,-4.3947
"X8.264__449.38479999999998__.M.H..__w.o.MS2.friedelin",-4.6111,0.041786,-2.4542,0.033991,0.99426,-4.4665
"X7.225__179.10856999999999__.M.H..__w.o.MS2.MLS001065600.01.",-0.98651,0.02315,-2.3842,0.038316,0.99426,-4.4728
"X5.693__239.16209000000001__.M.H..__w.o.MS2.3.hydroxy.5.5.8a.trimethyl.3.4.4a.6.7.8.hexahydronaphthalene.2.carboxylic.acid",0.54849,-0.72134,2.3764,0.038831,0.99426,-4.4735
"X1.12__156.07756000000001__.M.H..__w.o.MS2.Histidine",0.80699,0.032557,2.348,0.040755,0.99426,-4.476
"X0.58__329.99657999999999__.M.H..__Unknown",0.70225,-0.0054939,2.3312,0.041941,0.99426,-4.4775
"X0.682__184.07486__.M.H..__w.o.MS2.Phosphocholine",-1.3323,-2.092,-2.1679,0.055337,0.99426,-4.4924
"X4.494__214.08488__.M.H..__w.o.MS2.MLS002153472.01.N.Phenylanthranilic.acid91.40.7",0.90209,-0.80529,2.1333,0.058671,0.99426,-4.4957
"X6.341__312.37142999999998__.M.H..__Unknown",-0.42032,-0.35226,-2.0993,0.062126,0.99426,-4.4988
"X6.063__229.11754999999999__.M.H..__w.o.MS2.Proline.hydroxyproline",1.1795,-0.44222,2.0631,0.066016,0.99426,-4.5022
"X0.603__246.18407999999999__.M.H..__w.o.MS2.Unknown..carbon.number.11...PlaSMA.ID.1031",0.73111,-1.2803,2.035,0.069192,0.99426,-4.5048
"X0.586__212.85091__.M.K..__Unknown",-0.80033,0.06184,-2.0228,0.070624,0.99426,-4.5059
"X6.847__307.20605__.M.Na..__w.o.MS2..1R.3S.5S..8.methyl.8.azabicyclo.3.2.1.octan.3.yl.3.hydroxy.2.phenylpropanoate",-1.2116,0.31869,-1.9885,0.074785,0.99426,-4.5092
"X0.72__113.00005__.M.H..__Unknown",0.46641,0.20311,1.9781,0.076081,0.99426,-4.5101
"X1.629__130.06524999999999__.M.H..__w.o.MS2.Indole.3.carbinol..LC.ESI.QTOF..MS2..CE",-0.62321,0.30665,-1.971,0.076984,0.99426,-4.5108
"X0.579__413.96123999999998__.M.H..__Unknown",0.68518,0.12266,1.9634,0.077964,0.99426,-4.5115
"X6.845__352.32128999999998__.M.H..__Unknown",3.2003,-5.7219,1.8549,0.093268,0.99426,-4.5217
"X5.905__437.19528000000003__.M.Na..__w.o.MS2.NCGC00384865.01.5.hydroxy.7..4.hydroxy.2.methoxy.3..3.methylbut.2.enyl.phenyl..2.2.dimethyl.7.8.dihydropyrano.3.2.g.chromen.6.one",3.4083,-1.9049,1.833,0.096677,0.99426,-4.5238
"X5.678__263.06464__.M.H..__w.o.MS2.MLS001240214.01.2..3.Chloro.2.methyl.phenylamino..nicotinic.acid",0.47775,-1.3987,1.8285,0.097382,0.99426,-4.5242
"X0.575__507.05077999999997__.M.K..__w.o.MS2.ginnalin.A",0.51805,0.31056,1.8006,0.10193,0.99426,-4.5268
"X4.651__114.03719__.M.H..__Unknown",-0.42667,0.078881,-1.7983,0.1023,0.99426,-4.527
"X0.581__345.97512999999998__.M.H..__Unknown",0.37557,0.26395,1.7929,0.10321,0.99426,-4.5275
"X4.613__311.16034000000002__.M.H..__w.o.MS2..16alpha.17beta..estra.1.3.5.10..triene.3.16.17.triol",3.5681,-1.77,1.7773,0.10586,0.99426,-4.529
"X1.161__98.983879999999999__.M.H..__Unknown",0.77849,-0.11377,1.77,0.10712,0.99426,-4.5297
"X0.667__147.07874000000001__.M.H..__w.o.MS2.4.ureidobutanoic.acid",0.62968,-2.9491,1.7424,0.11203,0.99426,-4.5323
"X7.361__379.31157999999999__.M.H..__w.o.MS2.monoolein",-1.7803,-1.2334,-1.7225,0.11567,0.99426,-4.5341
"X6.616__385.17764__.M.H..__w.o.MS2..4aR..5.hydroxy.6.methoxy.1.1.dimethyl.7.propan.2.yl.2.3.4.9.10.10a.hexahydrophenanthrene.4a.carboxylic.acid",-0.86885,-0.44768,-1.7135,0.11736,0.99426,-4.535
"X0.58__429.93588__.M.H..__Unknown",0.58225,0.19691,1.7087,0.11827,0.99426,-4.5354
"X0.588__113.10735__.M.H..__Unknown",0.75582,-0.43111,1.6777,0.1243,0.99426,-4.5383
"X6.807__400.16843__.M.K..__w.o.MS2.colchicine",-1.8545,-0.8342,-1.6776,0.12433,0.99426,-4.5383
"X2.993__160.13328999999999__.M.H..__w.o.MS2.4.aminovaleric.acid.betaine..CE0..RXHVPPWXTMHWGY.UHFFFAOYSA.N",0.58426,0.28856,1.6605,0.12777,0.99426,-4.5399
"X0.581__407.01718__.M.H..__w.o.MS2.Methyl.Deoxycholate",0.88021,-0.032315,1.6151,0.13733,0.99426,-4.5441
"X5.824__227.16176999999999__.M.H..__w.o.MS2.NCGC00381386.01.2..7.hydroxy.6.methyloctyl..2H.furan.5.one",0.42866,-0.38175,1.6023,0.14014,0.99426,-4.5453
"X6.081__186.18584000000001__.M.H..__Unknown",-0.97471,-0.83281,-1.5753,0.14623,0.99426,-4.5478
"X7.516__481.29802999999998__.M.H..__w.o.MS2.Smilagenin.Acetate",0.90118,-0.69448,1.5687,0.14775,0.99426,-4.5484
"X1.009__419.05493000000001__.M.Na..__Unknown",0.48389,0.8471,1.5656,0.14847,0.99426,-4.5487
"X6.479__295.23615000000001__.M.H..__w.o.MS2.Unknown..carbon.number.18...PlaSMA.ID.1528",0.44107,-0.40095,1.559,0.15003,0.99426,-4.5493
"X1.47__282.19207999999998__.M.H..__w.o.MS2.MLS001148620.01.",0.45958,-0.53785,1.5488,0.15243,0.99426,-4.5502
"X5.68__435.33566000000002__.M.H..__w.o.MS2.Unknown..carbon.number.30...PlaSMA.ID.2370",-1.0729,-0.041054,-1.5443,0.15351,0.99426,-4.5506
"X7.226__151.07705999999999__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.231",-0.88529,-0.48394,-1.5249,0.15823,0.99426,-4.5524
"X8.272__549.42273__.M.H..__Unknown",-0.50296,-0.027677,-1.518,0.15994,0.99426,-4.553
"X1.458__366.00011999999998__.M.H..__Unknown",0.86108,0.5193,1.51,0.16195,0.99426,-4.5538
"X6.606__462.30016999999998__.M.H..__Unknown",-0.61621,-0.68707,-1.5088,0.16226,0.99426,-4.5539
"X3.853__418.14182__.M.Na..__w.o.MS2.Atalaphylline",1.4451,-0.10981,1.4917,0.16662,0.99426,-4.5554
"X5.679__207.6095__.M.H..__Unknown",-0.43751,-0.10741,-1.4696,0.17239,0.99426,-4.5574
"X2.338__178.09027__.M.H..__w.o.MS2.C10H11NO2..PlaSMA.ID.458",0.51528,0.53765,1.4519,0.17715,0.99426,-4.559
"X0.853__100.07642__.M.H..__w.o.MS2.Unknown..carbon.number.5...PlaSMA.ID.14",0.87967,-1.1739,1.4487,0.17803,0.99426,-4.5593
"X6.011__446.26711999999998__.M.H..__Unknown",0.46789,-0.11759,1.4313,0.1828,0.99426,-4.5609
"X6.969__335.29126000000002__.M.H..__w.o.MS2.arachidic.acid",-0.77385,-0.666,-1.4217,0.1855,0.99426,-4.5617
"X7.126__545.40197999999998__.M.H..__Unknown",0.85653,-0.14977,1.419,0.18629,0.99426,-4.562
"X0.593__294.02681999999999__.M.H..__Unknown",0.66113,-0.24632,1.4162,0.18708,0.99426,-4.5622
"X6.539__347.10516000000001__.M.H..__w.o.MS2.Oryzalin",-1.0581,-0.029172,-1.3975,0.19247,0.99426,-4.5639
"X1.457__414.08483999999999__.M.H..__Unknown",0.39115,0.39132,1.3792,0.19787,0.99426,-4.5655
"X5.061__422.17282__.M.H..__w.o.MS2..MLS001141386.01..2S..2..3...10aS..1.3.dioxo.10.10a.dihydro.5H.imidazo.1.5.b.isoquinolin.2.yl.propanoylamino..3.phenylpropanoic.acid.",-2.002,-2.8023,-1.3731,0.19971,0.99426,-4.5661
"X0.571__246.03334000000001__.M.Na..__Unknown",0.35069,0.15842,1.3706,0.20045,0.99426,-4.5663
"X4.557__376.13256999999999__.M.H..__w.o.MS2.BEZ.M",1.9565,-0.63839,1.3673,0.20145,0.99426,-4.5666
"X5.073__511.68524000000002__.M.2H.2.__Unknown",-2.5255,-0.84816,-1.3643,0.20236,0.99426,-4.5668
"X7.569__338.34433000000001__.M.H..__w.o.MS2.Erucamide",-0.54927,-1.1444,-1.363,0.20276,0.99426,-4.567
"X0.513__265.01522999999997__.M.CH3OH.H..__Unknown",1.1373,0.15985,1.3609,0.20338,0.99426,-4.5671
"X3.993__191.08327__.M.H..__w.o.MS2.3.methyl.3.4.dihydro.1H.1.4.benzodiazepine.2.5.dione",-0.42992,-0.23423,-1.3607,0.20345,0.99426,-4.5672
"X7.223__295.2038__.M.H..__w.o.MS2.ISOPALMITIC.ACID",0.7283,-0.50793,1.3486,0.20718,0.99426,-4.5682
"X8.208__507.41208__.M.H..__w.o.MS2.Valactamide.A.putative",0.73351,0.57969,1.3375,0.21065,0.99426,-4.5692
"X2.614__180.13856999999999__.M.H..__w.o.MS2.MEX_180.1383_11.9",0.33885,0.08249,1.3358,0.21118,0.99426,-4.5693
"X0.984__247.03163000000001__.M.H..__w.o.MS2.columbianetin",0.68027,0.41328,1.335,0.21144,0.99426,-4.5694
"X1.459__263.19690000000003__.M.H..__w.o.MS2.7..2.hydroxypropan.2.yl..1.4a.dimethyl.2.3.4.5.6.7.8.8a.octahydronaphthalen.1.ol",0.42127,0.7412,1.3125,0.21863,0.99426,-4.5714
"X1.289__136.07607999999999__.M.H..__w.o.MS2.3..Aminoacetophenone",0.32705,-0.65449,1.2966,0.22386,0.99426,-4.5727
"X5.271__207.09741__.M.H..__w.o.MS2.3.methyl.6..2.methylpropyl.piperazine.2.5.dione",-0.71745,0.35462,-1.2959,0.22409,0.99426,-4.5728
"X1.095__252.15924000000001__.M.H..__Unknown",0.28015,-0.13807,1.2948,0.22444,0.99426,-4.5729
"X4.575__231.10056__.M.H..__w.o.MS2.MLS000069555.01.NAPROXEN.SODIUM",0.42342,-0.81274,1.2941,0.2247,0.99426,-4.573
"X6.14__286.32269000000002__.M.H..__Unknown",0.41596,-0.58496,1.2927,0.22517,0.99426,-4.5731
"X0.84__204.12270000000001__.M.H..__w.o.MS2.Acetylcarnitine",-0.68508,-2.0132,-1.2899,0.22607,0.99426,-4.5733
"X0.579__481.94720000000001__.M.H..__Unknown",0.46633,-0.10531,1.289,0.22639,0.99426,-4.5734
"X3.467__201.05070000000001__.M.H..__w.o.MS2.Camalexin",0.30036,-0.31596,1.2802,0.22933,0.99426,-4.5741
"X6.806__250.08751000000001__.M.H..__w.o.MS2.MLS001074296.01.2.Phenyl.4.quinolinecarboxylic.acid132.60.5",-1.9712,-0.56976,-1.2739,0.2315,0.99426,-4.5747
"X0.859__98.984960000000001__.M.H..__Unknown",0.4311,-0.93917,1.2683,0.23338,0.99426,-4.5752
"X0.988__254.99437__.M.H..__Unknown",0.52504,0.28512,1.2662,0.23413,0.99426,-4.5754
"X6.866__303.23259999999999__.M.H..__w.o.MS2.Kaurenic.acid",-0.36227,-0.070013,-1.2549,0.23803,0.99426,-4.5763
"X1.009__172.0412__.M.Na..__w.o.MS2.p.Toluenesulfonamide",0.21495,0.18028,1.2468,0.24084,0.99426,-4.577
"X4.792__144.13963000000001__.M.H..__Unknown",-0.84125,-0.40466,-1.2373,0.24421,0.99426,-4.5778
"X3.486__240.14878999999999__.M.H..__Unknown",-0.38195,-1.1767,-1.2362,0.2446,0.99426,-4.5779
"X0.799__146.11668__.M.H..__w.o.MS2.Acetylcholine..LC.ESI.QTOF..MS2..CE",-0.88945,-0.073649,-1.2359,0.24472,0.99426,-4.5779
"X0.564__224.05269000000001__.M.H..__w.o.MS2.Unknown..carbon.number.10...PlaSMA.ID.852",0.44063,0.20431,1.2321,0.24608,0.99426,-4.5782
"X6.098__98.985680000000002__.M.H..__Unknown",-0.33371,-0.12023,-1.2243,0.24887,0.99426,-4.5789
"X1.82__231.08731__.M.H..__w.o.MS2.Beta.Asarone",0.33984,-0.5541,1.2129,0.25301,0.99426,-4.5798
"X6.116__356.35174999999998__.M.H..__Unknown",-0.6828,-0.4619,-1.2121,0.25332,0.99426,-4.5799
"X3.087__305.09694999999999__.M.H..__w.o.MS2.N.Acetyl.Asp.Glu",-0.419,-0.087413,-1.2081,0.25476,0.99426,-4.5802
"X5.417__353.15726000000001__.M.H..__w.o.MS2.4.decyl.3.hydroxy.5.oxooxolane.2.3.dicarboxylic.acid",-2.4814,-3.6734,-1.2031,0.25661,0.99426,-4.5807
"X4.281__376.13335999999998__.M.H..__w.o.MS2.BEZ.M",-1.5306,-0.063591,-1.1991,0.25811,0.99426,-4.581
"X4.402__248.14191__.M.H..__w.o.MS2.12.Cytisineacetamide",0.27588,0.49632,1.1978,0.25858,0.99426,-4.5811
"X4.943__241.11547999999999__.M.H..__w.o.MS2.Dictazoline.E",-0.28274,-0.077295,-1.196,0.25927,0.99426,-4.5813
"X4.724__446.16519__.M.2H.2.__w.o.MS2.1..3..2.3.dihydrobenzo.b..1.4.dioxin.6.yl..7.hydroxy.2.methyl.4.oxo.6.propyl.4H.chromen.8.yl..N.N.dimethylmethanaminium.chloride",1.5441,-1.6901,1.1957,0.25936,0.99426,-4.5813
"X6.194__277.18047999999999__.M.H..__w.o.MS2.6.Shogaol",-0.50313,-0.70542,-1.1948,0.25969,0.99426,-4.5813
"X6.489__540.42609000000004__.M.H..__Unknown",0.42162,-1.0523,1.192,0.26075,0.99426,-4.5816
"X5.678__376.26067999999998__.M.H..__Unknown",-0.63268,-0.060091,-1.1913,0.261,0.99426,-4.5816
"X4.648__350.11606__.M.2H.2.__w.o.MS2.MMV688889",1.5948,0.18857,1.1871,0.26259,0.99426,-4.582
"X0.908__130.05080000000001__.M.H..__w.o.MS2.Pyroglutamic.acid..not.validated..isomer.of.88...PlaSMA.ID.89",0.44463,-2.2675,1.1726,0.26809,0.99426,-4.5832
"X7.018__282.23043999999999__.M.H..__w.o.MS2.MLS001148462.01.alverine",-0.50119,0.046765,-1.1648,0.2711,0.99426,-4.5838
"X7.883__521.38726999999994__.M.H..__Unknown",-0.36427,0.059541,-1.1558,0.27462,0.99426,-4.5846
"X3.655__396.15850999999998__.M.H..__w.o.MS2.NCGC00385007.01.methyl.4..1.3.dihydroxy.1..4.hydroxy.3.methoxyphenyl.propan.2.yl.oxy.3.methoxybenzoate",-1.5822,-1.396,-1.1487,0.27738,0.99426,-4.5851
"X3.853__220.09952999999999__.M.H..__w.o.MS2.Aniracetam",0.83297,0.1051,1.1482,0.27757,0.99426,-4.5852
"X0.582__411.03881999999999__.M.Na..__Unknown",0.44005,0.5609,1.1423,0.2799,0.99426,-4.5856
"X1.005__148.09650999999999__.M.H..__w.o.MS2.Mevalonic.Acid.Lactone",0.57683,-2.1764,1.1421,0.27998,0.99426,-4.5857
"X7.36__395.28656000000001__.M.H..__w.o.MS2.Conessine",-1.1334,-0.59637,-1.1383,0.2815,0.99426,-4.586
"X0.582__284.00042999999999__.M.Na..__Unknown",-0.52179,-0.29999,-1.1309,0.28445,0.99426,-4.5866
"X5.679__393.28789999999998__.M.H..__Unknown",-0.58205,0.21903,-1.1287,0.28537,0.99426,-4.5867
"X0.577__397.98815999999999__.M.H..__Unknown",0.38775,-0.18846,1.1101,0.29292,0.99426,-4.5882
"X1.647__156.07687000000001__.M.H..__w.o.MS2.L.Histidine..CE0..HNDVDQJCIGZPNO.YFKPBYRVSA.N",0.54388,0.30367,1.1029,0.29587,0.99426,-4.5888
"X1.482__113.10822__.M.H..__Unknown",0.3245,0.13272,1.1,0.29707,0.99426,-4.589
"X7.124__325.27242999999999__.M.H..__w.o.MS2..3S..5...1R.2R.8aS..2.hydroxy.2.5.5.8a.tetramethyl.3.4.4a.6.7.8.hexahydro.1H.naphthalen.1.yl..3.methylpentanoic.acid",-0.68461,-0.078553,-1.0999,0.29713,0.99426,-4.589
"X3.754__557.22240999999997__.M.H..__Unknown",-1.2712,-1.929,-1.0994,0.29733,0.99426,-4.5891
"X2.434__409.18682999999999__.M.H..__w.o.MS2.eudesmin",-0.6789,0.14958,-1.0993,0.29739,0.99426,-4.5891
"X0.831__168.94781__.M.H..__Unknown",-0.76823,0.17927,-1.0954,0.29898,0.99426,-4.5894
"X7.016__350.17809999999997__.M.H..__w.o.MS2.MMV688888",1.0429,-1.0339,1.0945,0.29937,0.99426,-4.5895
"X0.852__154.94202999999999__.M.H..__Unknown",-0.70608,0.37554,-1.091,0.30085,0.99426,-4.5897
"X8.786__561.46898999999996__.M.Na..__Unknown",0.49104,0.46065,1.0836,0.30393,0.99426,-4.5903
"X0.482__112.11212999999999__.M.H..__Unknown",-1.3045,1.4975,-1.083,0.30421,0.99426,-4.5904
"X7.123__365.34528__.M.H..__w.o.MS2.Heneicosanoic.acid..21.0.",-0.60459,0.56772,-1.0698,0.30983,0.99426,-4.5914
"X0.876__234.90781999999999__.M.H..__Unknown",-0.82697,0.020552,-1.0662,0.31137,0.99426,-4.5917
"X0.605__364.05880999999999__.M.H..__w.o.MS2.Guanosine.5..monophosphate..LC.ESI.QTOF..MS2..CE",0.41247,0.2197,1.0617,0.3133,0.99426,-4.592
"X0.58__448.02573000000001__.M.H..__Unknown",0.37519,0.32306,1.0548,0.31632,0.99426,-4.5926
"X0.983__95.024609999999996__.M.H.H2O..__Unknown",0.35794,0.16433,1.0493,0.31873,0.99426,-4.593
"X1.01__58.994990000000001__.M.H..__Unknown",0.23296,0.1084,1.0492,0.31877,0.99426,-4.593
"X4.339__514.21056999999996__.M.H..__w.o.MS2.4..7.acetyloxy.5.chloro.3...1E.3E..3.5.dimethylhepta.1.3.dienyl..7.methyl.6.8.dioxoisoquinolin.2.yl.butanoic.acid",-2.2697,-0.13487,-1.0419,0.32196,0.99426,-4.5936
"X7.533__339.29074000000003__.M.H..__Unknown",-0.29262,0.18135,-1.0347,0.32515,0.99426,-4.5941
"X4.92__336.21679999999998__.M.H..__Unknown",0.29043,-1.4194,1.0274,0.32842,0.99426,-4.5947
"X1.031__202.18224000000001__.M.H..__Unknown",0.50829,-0.25888,1.0258,0.32916,0.99426,-4.5948
"X0.514__198.94175999999999__.M.H..__Unknown",0.53937,-0.086572,1.003,0.33948,0.99426,-4.5965
