"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X7.025__351.24707000000001__.M.H..__w.o.MS2.Unknown..carbon.number.21...PlaSMA.ID.1929",-1.9742,-0.71828,-4.5958,0.0016986,0.50065,-1.51
"X0.853__100.07642__.M.H..__w.o.MS2.Unknown..carbon.number.5...PlaSMA.ID.14",1.9708,-0.79519,4.3823,0.0022603,0.50065,-1.6715
"X1.088__177.94945__.M.H..__Unknown",-1.9428,-0.67295,-3.9825,0.0039285,0.5801,-1.997
"X6.845__352.32128999999998__.M.H..__Unknown",5.4553,-4.4887,3.6457,0.0063728,0.59474,-2.2953
"X1.198__177.95758000000001__.M.H..__Unknown",-1.8728,0.5374,-3.5165,0.0077037,0.59474,-2.4153
"X1.038__308.09334999999999__.M.H..__w.o.MS2.Glutathione..reduced.",-1.3751,-4.0174,-3.4863,0.0080552,0.59474,-2.4438
"X1.348__200.97656000000001__.M.H..__Unknown",-1.1082,0.19054,-3.2157,0.012081,0.73825,-2.7067
"X5.375__325.10736000000003__.M.K..__w.o.MS2.NCGC00169103.03_C19H18O6_Benz.3.4.anthra.1.2.b.oxirene.5.6.dione..1a.2.3.4.5b.11.11a.11b.octahydro.10.11.11a.trihydroxy.3.methyl.",-3.4445,-3.7817,-3.0937,0.014543,0.73825,-2.8292
"X6.422__317.13222999999999__.M.H..__w.o.MS2.2.morpholino.7H.naphtho.1.2.3.de.quinolin.7.one",0.96578,-0.1502,3.0514,0.015514,0.73825,-2.8722
"X7.181__362.30333999999999__.M.H..__w.o.MS2.NCGC00386000.01.3.pentadecylbenzene.1.2.diol",-1.4708,-0.79866,-2.9515,0.018088,0.73825,-2.975
"X6.442__427.07104__.M.K..__Unknown",1.3913,-2.6482,2.9428,0.018331,0.73825,-2.984
"X5.693__239.16209000000001__.M.H..__w.o.MS2.3.hydroxy.5.5.8a.trimethyl.3.4.4a.6.7.8.hexahydronaphthalene.2.carboxylic.acid",0.73874,-0.65354,2.8057,0.022662,0.77994,-3.1273
"X6.291__293.21749999999997__.M.H..__w.o.MS2.Unknown..carbon.number.18...PlaSMA.ID.1487",-2.0939,-0.60786,-2.7408,0.02507,0.77994,-3.196
"X0.482__112.11212999999999__.M.H..__Unknown",-2.1283,0.88326,-2.6778,0.027659,0.77994,-3.2632
"X6.442__411.09656__.M.Na..__Unknown",1.5461,-2.8912,2.6686,0.028056,0.77994,-3.273
"X5.975__310.23257000000001__.M.CH3OH.H..__w.o.MS2.Melophlin.M",1.4837,-0.74079,2.6217,0.030192,0.77994,-3.3233
"X0.802__234.05477999999999__.M.H..__Unknown",-2.9062,-4.8969,-2.5944,0.031509,0.77994,-3.3526
"X6.489__540.42609000000004__.M.H..__Unknown",2.5567,-0.21033,2.5842,0.032018,0.77994,-3.3636
"X2.838__384.12860000000001__.M.H..__w.o.MS2.1.hydroxy.4...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxynaphthalene.2.carboxylic.acid",-0.92669,-1.661,-2.518,0.035514,0.77994,-3.435
