"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X6.845__352.32128999999998__.M.H..__Unknown",7.2165,-5.6493,3.9673,0.0040405,0.895,-4.4485
"X1.198__177.95758000000001__.M.H..__Unknown",-1.3652,0.59176,-3.7823,0.0052587,0.895,-4.4544
"X0.984__247.03163000000001__.M.H..__w.o.MS2.columbianetin",1.0465,0.4238,3.3573,0.0098075,0.895,-4.4697
"X0.988__254.99437__.M.H..__Unknown",1.4291,0.50016,3.1983,0.012455,0.895,-4.4762
"X0.876__234.90781999999999__.M.H..__Unknown",-2.8652,-0.66099,-3.1854,0.012701,0.895,-4.4767
"X6.459__236.20265000000001__.M.Na..__Unknown",-1.1576,0.073409,-3.1038,0.014377,0.895,-4.4802
"X1.083__312.11176__.M.H..__w.o.MS2.C11H21NO7S..PlaSMA.ID.1653",1.8952,1.9741,2.705,0.026588,0.895,-4.4987
"X6.539__347.10516000000001__.M.H..__w.o.MS2.Oryzalin",-2.1535,-0.12495,-2.6854,0.027412,0.895,-4.4997
"X7.025__351.24707000000001__.M.H..__w.o.MS2.Unknown..carbon.number.21...PlaSMA.ID.1929",-1.1536,-0.2155,-2.5734,0.032647,0.895,-4.5054
"X1.145__148.05457999999999__.M.H..__w.o.MS2.Glutamic.acid",-1.2398,-1.3659,-2.5721,0.032716,0.895,-4.5054
"X4.494__214.08488__.M.H..__w.o.MS2.MLS002153472.01.N.Phenylanthranilic.acid91.40.7",1.1421,-1.1181,2.5485,0.033945,0.895,-4.5067
"X0.588__113.10735__.M.H..__Unknown",1.3554,-0.45279,2.5354,0.03465,0.895,-4.5073
"X0.983__95.024609999999996__.M.H.H2O..__Unknown",0.78233,0.27021,2.534,0.034724,0.895,-4.5074
"X6.536__315.15991000000002__.M.Na..__w.o.MS2.Safranin..LC.ESI.QTOF..MS2..CE",-1.3146,-0.35732,-2.5247,0.035231,0.895,-4.5079
