"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X8.264__449.38479999999998__.M.H..__w.o.MS2.friedelin",-4.4361,1.4062,-4.5556,0.0014084,0.35513,-1.6552
"X6.845__352.32128999999998__.M.H..__Unknown",7.2856,-5.4236,4.4648,0.0016033,0.35513,-1.7196
"X4.613__311.16034000000002__.M.H..__w.o.MS2..16alpha.17beta..estra.1.3.5.10..triene.3.16.17.triol",7.2742,-1.0555,3.5845,0.0059794,0.83201,-2.4223
"X7.123__365.34528__.M.H..__w.o.MS2.Heneicosanoic.acid..21.0.",-2.1697,0.18701,-3.4385,0.0075125,0.83201,-2.5525
"X0.854__174.14882__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.410",1.8064,0.4173,3.0565,0.013797,0.93368,-2.9099
"X0.692__316.98538000000002__.M.K..__Unknown",-2.5261,0.30865,-2.7793,0.021612,0.93368,-3.1824
"X6.271__328.31873000000002__.M.H..__w.o.MS2.Stearoyl.Ethanolamide",1.1386,-1.7963,2.7738,0.021805,0.93368,-3.1879
"X4.494__214.08488__.M.H..__w.o.MS2.MLS002153472.01.N.Phenylanthranilic.acid91.40.7",1.6651,-0.84015,2.7336,0.023281,0.93368,-3.2282
"X6.479__295.23615000000001__.M.H..__w.o.MS2.Unknown..carbon.number.18...PlaSMA.ID.1528",0.79782,-0.31325,2.6779,0.025494,0.93368,-3.2843
"X1.038__308.09334999999999__.M.H..__w.o.MS2.Glutathione..reduced.",-1.3982,-3.6381,-2.5397,0.031949,0.93368,-3.4246
"X3.921__481.21181999999999__.M.H..__Unknown",1.8897,0.4387,2.4933,0.034464,0.93368,-3.472
"X4.174__249.12058999999999__.M.H..__w.o.MS2.MLS000860057.01.6.Hydroxymelatonin",0.71329,0.050103,2.4897,0.034669,0.93368,-3.4757
"X1.348__200.97656000000001__.M.H..__Unknown",-1.1122,0.63304,-2.4792,0.03527,0.93368,-3.4865
"X0.986__267.02999999999997__.M.Na..__Unknown",-0.85962,-0.056469,-2.452,0.036872,0.93368,-3.5143
"X4.578__264.23361__.M.H..__w.o.MS2.NCGC00385952.01_C15H26O_1.7.Dimethyl.7..4.methyl.3.penten.1.yl.bicyclo.2.2.1.heptan.2.ol",0.93776,-0.43277,2.3872,0.04099,0.93368,-3.5809
"X6.783__325.24169999999998__.M.H..__w.o.MS2.C19H32O4..PlaSMA.ID.1756",1.1923,-0.1118,2.3216,0.045626,0.93368,-3.6483
"X3.78__183.06880000000001__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.514",-0.80048,-0.50356,-2.3103,0.04647,0.93368,-3.6599
"X2.672__136.06525__.M.H..__Adenine..LC.ESI.QTOF..MS2..CE",1.6159,-2.6452,2.2557,0.0508,0.93368,-3.7162
"X0.514__198.94175999999999__.M.H..__Unknown",2.3409,0.63828,2.2553,0.050829,0.93368,-3.7165
"X0.986__168.99323999999999__.M.H..__w.o.MS2.Phosphoenolpyruvic.acid",-1.1429,-0.75301,-2.243,0.051855,0.93368,-3.7291
"X0.676__497.04827999999998__.M.H..__Unknown",-4.3313,-0.75698,-2.2409,0.052037,0.93368,-3.7314
"X2.247__258.07211000000001__.M.K..__w.o.MS2.Orbencarb..LC.ESI.ITFT..MS2..CE",0.83004,0.25926,2.1933,0.056226,0.93368,-3.7803
