"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X4.921__533.18768__.M.2H.2.__Unknown",-3.4067,-0.91726,-7.6524,3.5723e-05,0.015825,2.67
"X3.093__486.04108000000002__.M.H..__Unknown",-2.5842,-0.28479,-5.6952,0.00032197,0.071316,0.70135
"X0.861__136.93008__.M.H.H2O..__Unknown",-2.572,-0.83378,-4.7952,0.0010444,0.15422,-0.40507
"X1.609__276.14343000000002__.M.H.H2O..__w.o.MS2.Unknown..carbon.number.11...PlaSMA.ID.1286",2.8049,-1.9611,4.1876,0.0024691,0.24124,-1.2283
"X0.666__219.02705__.M.K..__w.o.MS2.THEOBROMINE",2.2023,-1.9127,4.0125,0.0031956,0.24124,-1.4766
"X6.616__385.17764__.M.H..__w.o.MS2..4aR..5.hydroxy.6.methoxy.1.1.dimethyl.7.propan.2.yl.2.3.4.9.10.10a.hexahydrophenanthrene.4a.carboxylic.acid",-1.2282,0.10892,-3.9976,0.0032674,0.24124,-1.498
"X8.786__561.46898999999996__.M.Na..__Unknown",2.0311,-1.3266,3.6936,0.0051667,0.32698,-1.9399
"X0.579__351.98876999999999__.M.Na..__Unknown",1.1984,-0.61943,3.2647,0.010064,0.40255,-2.583
"X4.724__446.16519__.M.2H.2.__w.o.MS2.1..3..2.3.dihydrobenzo.b..1.4.dioxin.6.yl..7.hydroxy.2.methyl.4.oxo.6.propyl.4H.chromen.8.yl..N.N.dimethylmethanaminium.chloride",-2.2733,-0.52272,-3.2388,0.010483,0.40255,-2.6224
"X3.921__481.21181999999999__.M.H..__Unknown",-1.2095,-0.16363,-3.2218,0.01077,0.40255,-2.6484
"X0.586__196.03073000000001__.M.H..__w.o.MS2.N.Methylbenzylamine.Hydrochloride",-6.1414,-1.9494,-3.1692,0.011707,0.40255,-2.7286
