"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X8.786__561.46898999999996__.M.Na..__Unknown",1.907,-1.4152,6.2108,0.00016168,0.071625,-0.40932
"X0.852__154.94202999999999__.M.H..__Unknown",-1.7314,-0.52279,-3.6656,0.005254,0.43308,-2.2283
"X0.582__445.08026000000001__.M.Na..__w.o.MS2.mangiferin",1.9104,-0.99522,3.6165,0.0056697,0.43308,-2.2749
"X7.638__562.37445000000002__.M.2H.2.__w.o.MS2.Rhodoxanthin..FAB.EBEB..MS2..m.z",2.0754,0.20039,3.5245,0.0065434,0.43308,-2.3633
"X6.616__385.17764__.M.H..__w.o.MS2..4aR..5.hydroxy.6.methoxy.1.1.dimethyl.7.propan.2.yl.2.3.4.9.10.10a.hexahydrophenanthrene.4a.carboxylic.acid",-0.96386,0.25373,-3.4581,0.0072606,0.43308,-2.4279
"X0.676__497.04827999999998__.M.H..__Unknown",2.5762,-2.0227,3.4176,0.0077386,0.43308,-2.4678
"X0.579__351.98876999999999__.M.Na..__Unknown",1.166,-0.64839,3.4139,0.0077837,0.43308,-2.4714
"X5.061__422.17282__.M.H..__w.o.MS2..MLS001141386.01..2S..2..3...10aS..1.3.dioxo.10.10a.dihydro.5H.imidazo.1.5.b.isoquinolin.2.yl.propanoylamino..3.phenylpropanoic.acid.",1.1141,-0.10297,3.4109,0.0078209,0.43308,-2.4744
"X7.183__250.17766__.M.Na..__w.o.MS2.NCGC00380352.01.5.butyl.4.hydroxy.3.methyl.6..3.methylbut.2.enyl..1H.pyridin.2.one",0.79378,0.68264,3.2656,0.0098459,0.44977,-2.6198
"X4.019__162.0925__.M.H..__w.o.MS2.Tryptophol",-1.6299,0.99246,-3.2463,0.010153,0.44977,-2.6393
"X0.84__204.12270000000001__.M.H..__w.o.MS2.Acetylcarnitine",-1.9975,-0.96575,-2.8597,0.018924,0.52797,-3.0425
"X7.218__193.0891__.M.H..__w.o.MS2.C11H12O3..PlaSMA.ID.584",1.6119,0.57184,2.8459,0.019353,0.52797,-3.0572
"X6.037__180.13929999999999__.M.H..__w.o.MS2..1..2.6.dimethylphenoxy.propan.2.amine.",1.8787,-0.50041,2.8367,0.019644,0.52797,-3.067
"X6.063__347.14053000000001__.M.Na..__w.o.MS2.N..3.4.dimethoxyphenethyl..1H.indole.3.carboxamide",5.0904,-2.1895,2.7751,0.021719,0.52797,-3.1332
"X7.023__376.31873000000002__.M.Na..__w.o.MS2.N..3.Methoxybenzyl.palmitamide",3.0555,1.9099,2.7612,0.022213,0.52797,-3.1481
"X0.49__146.16550000000001__.M.H..__w.o.MS2.Spermidine..LC.ESI.QTOF..MS2..CE",-2.2702,1.6166,-2.7527,0.022527,0.52797,-3.1574
"X0.853__100.07642__.M.H..__w.o.MS2.Unknown..carbon.number.5...PlaSMA.ID.14",-1.3238,-0.44867,-2.7389,0.023037,0.52797,-3.1722
"X0.577__397.98815999999999__.M.H..__Unknown",0.85731,-0.41801,2.7303,0.023364,0.52797,-3.1815
"X0.584__200.03999__.M.Na..__w.o.MS2.2.amino.3.prop.2.enylsulfinylpropanoic.acid",0.81555,-0.56409,2.6906,0.024927,0.52797,-3.2245
"X2.247__258.07211000000001__.M.K..__w.o.MS2.Orbencarb..LC.ESI.ITFT..MS2..CE",-0.53576,0.31659,-2.677,0.025487,0.52797,-3.2392
"X0.582__284.00042999999999__.M.Na..__Unknown",0.67973,-0.19084,2.6648,0.026001,0.52797,-3.2525
"X1.685__176.07056__.M.H..__w.o.MS2.3.Indoleacetic.acid..CE0..SEOVTRFCIGRIMH.UHFFFAOYSA.N",-0.78457,0.42455,-2.6596,0.02622,0.52797,-3.2581
