"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X0.72__113.00005__.M.H..__Unknown",-4.7392,1.2119,-5.353,0.00044823,0.15762,0.296
"X0.861__136.93008__.M.H.H2O..__Unknown",-2.0981,-0.59899,-4.8647,0.00086965,0.15762,-0.27451
"X4.339__514.21056999999996__.M.H..__w.o.MS2.4..7.acetyloxy.5.chloro.3...1E.3E..3.5.dimethylhepta.1.3.dienyl..7.methyl.6.8.dioxoisoquinolin.2.yl.butanoic.acid",-1.4987,-0.2099,-4.4533,0.0015614,0.15762,-0.78836
"X0.799__146.11668__.M.H..__w.o.MS2.Acetylcholine..LC.ESI.QTOF..MS2..CE",1.2151,-0.091864,4.4188,0.0016416,0.15762,-0.83273
"X6.147__327.09116__.M.H..__w.o.MS2.Vicine",1.5506,-0.41354,4.3638,0.001779,0.15762,-0.90405
"X1.629__130.06524999999999__.M.H..__w.o.MS2.Indole.3.carbinol..LC.ESI.QTOF..MS2..CE",-8.6961,-5.643,-4.1847,0.0023183,0.17117,-1.1399
"X6.403__338.22640999999999__.M.H..__w.o.MS2.Lobeline.Hydrochloride",1.0782,-0.26581,3.8503,0.0038464,0.24342,-1.5943
"X3.088__192.04961__.M.CH3OH.H..__w.o.MS2.Aconitic.Acid",-0.96577,-0.13305,-3.6966,0.0048788,0.26443,-1.8091
"X0.701__277.14312999999999__.M.H..__w.o.MS2.3.7.Epoxycaryophyllan.6.Ol",3.2588,-0.32414,3.6262,0.0054454,0.26443,-1.9085
"X0.58__493.00060999999999__.M.K..__Unknown",-1.3755,0.6303,-3.5106,0.0065301,0.26443,-2.0732
"X6.442__427.07104__.M.K..__Unknown",1.8834,-3.1328,3.484,0.006811,0.26443,-2.1114
"X4.647__160.04292000000001__.M.H..__w.o.MS2.Brompheniramine",-0.84883,-0.31823,-3.3387,0.0085818,0.26443,-2.3213
"X0.634__298.10275000000001__.M.H..__w.o.MS2.ACTIPHENOL",3.2813,1.0181,3.284,0.0093669,0.26443,-2.4009
"X6.078__302.31317000000001__.M.H..__w.o.MS2.MLS001066334.01.D.erythro.Dihydrosphingosine764.22.7",1.2405,0.021821,3.2709,0.0095664,0.26443,-2.4201
