"","Strain","Batch","Class"
"_B2G_ygr_2_pos_040","YGR067C","1","Glucose"
"_B2G_ygr_3_pos_041","YGR067C","1","Glucose"
"_B2G_faa1_1_pos_043","FAA1","1","Glucose"
"_B2G_faa1_2_pos_044","FAA1","1","Glucose"
"_B2G_tda1_1_pos_047","TDA1","1","Glucose"
"_B2G_tda1_2_pos_048","TDA1","1","Glucose"
"_B2G_rme1_1_pos_051","RME1","1","Glucose"
"_B2G_rme1_2_pos_052","RME1","1","Glucose"
"_B2G_gal11_1_pos_055","GAL11","1","Glucose"
"_B2G_gal11_2_pos_056","GAL11","1","Glucose"
"_B2G_WT_1_pos_059","WT","1","Glucose"
"_B2G_WT_2_pos_060","WT","1","Glucose"
"_B2G_rts3_1_pos_063","RTS3","1","Glucose"
"_B2G_rts3_2_pos_064","RTS3","1","Glucose"
"_B2G_rts3_3_pos_065","RTS3","1","Glucose"
"_B1E_mek1_1_pos_072","MEK1","1","Ethanol"
"_B1E_mek1_2_pos_073","MEK1","1","Ethanol"
"_B1E_mek1_3_pos_074","MEK1","1","Ethanol"
"_B1E_rst3_1_pos_080","RTS3","1","Ethanol"
"_B1E_rst3_2_pos_081","RTS3","1","Ethanol"
"_B1E_rst3_3_pos_082","RTS3","1","Ethanol"
"_B1E_dld3_1_pos_084","DLD3","1","Ethanol"
"_B1E_dld3_2_pos_085","DLD3","1","Ethanol"
"_B1E_oca1_1_pos_088","OCA1","1","Ethanol"
"_B1E_oca1_2_pos_089","OCA1","1","Ethanol"
"_B1E_oca1_3_pos_090","OCA1","1","Ethanol"
"_B1E_pcl1_1_pos_092","PCL1","1","Ethanol"
"_B1E_pcl1_2_pos_093","PCL1","1","Ethanol"
"_B1E_pcl1_3_pos_094","PCL1","1","Ethanol"
"_B2E_ygr_1_pos_100","YGR067C","1","Ethanol"
"_B2E_ygr_2_pos_101","YGR067C","1","Ethanol"
"_B2E_tda1_2_pos_105","TDA1","1","Ethanol"
"_B2E_tda1_3_pos_106","TDA1","1","Ethanol"
"_B2E_rme1_1_pos_108","RME1","1","Ethanol"
"_B2E_rme1_2_pos_109","RME1","1","Ethanol"
"_B2E_rme1_3_pos_110","RME1","1","Ethanol"
"_B2E_faa1_1_pos_112","FAA1","1","Ethanol"
"_B2E_faa1_3_pos_114","FAA1","1","Ethanol"
"_B2E_gal11_1_pos_116","GAL11","1","Ethanol"
"_B2E_gal11_2_pos_117","GAL11","1","Ethanol"
"_B2E_gal11_3_pos_118","GAL11","1","Ethanol"
"_B2E_WT_1_pos_120","WT","1","Ethanol"
"_B2E_WT_3_pos_122","WT","1","Ethanol"
"RP_POS_YGR_2.B6E_005","YGR067C","2","Ethanol"
"RP_POS_TDA1_2.B6E_006","TDA1","2","Ethanol"
"RP_POS_OCA1_2.B6E_007","OCA1","2","Ethanol"
"RP_POS_RME1_2.B6E_008","RME1","2","Ethanol"
"RP_POS_GAL11_2.B5G_009","GAL11","2","Glucose"
"RP_POS_DLD3_2.B5G_010","DLD3","2","Glucose"
"RP_POS_FAA1_1.B7G_011","FAA1","2","Glucose"
"RP_POS_DLD3_1.B5G_012","DLD3","2","Glucose"
"RP_POS_OCA1_1.B5G_013","OCA1","2","Glucose"
"RP_POS_DLD3_1.B6E_014","DLD3","2","Ethanol"
"RP_POS_YGR_1.B7G_019","YGR067C","2","Glucose"
"RP_POS_OCA1_2.B5G_020","OCA1","2","Glucose"
"RP_POS_TDA1_1.B7G_021","TDA1","2","Glucose"
